Index,codigo_1,codigo_2
0,1060688,433410
0,1060687,433410
0,1000521,465311
1,6155552,484129
2,2206001,326130
3,6489686,722511
7,6313926,326199
10,8651872,436112
10,4115611,468211
12,6305283,332720
16,6301851,465312
16,6301969,465312
16,893478,465312
16,6317454,465312
16,6319176,465312
16,6365189,433420
16,6370455,465312
16,6371498,465312
16,6371618,465312
16,6365308,465312
16,6370165,465312
16,6370454,465312
16,6364272,465312
16,6371453,465312
16,6385623,465312
16,6402339,465312
22,9064024,812110
22,6292160,721111
22,6295626,721111
22,757456,466114
22,6361348,721111
32,9325833,531210
36,8228473,461110
36,8622816,461213
36,7995240,461110
41,1800662,467111
45,959832,561510
52,8368517,323119
52,8392475,323119
52,869383,323119
56,8016989,434225
61,6367149,332310
61,9305898,435419
62,8723217,461121
62,8939939,461121
62,9277650,461121
62,8737561,461121
62,8921882,461121
62,6764354,461121
62,6295623,461121
62,6295624,461121
62,6295625,461121
62,6291934,461121
62,6854478,461121
62,8723218,461121
66,3362756,541211
66,3851272,621115
67,169042,464113
68,6143249,237312
71,3377408,337120
77,3613849,333999
78,873642,435411
80,7917438,812110
80,9070436,812110
80,4132288,812110
80,8928855,812110
90,1009886,331520
90,8783742,541944
90,3917312,931310
94,1987286,434222
99,6305428,465213
99,6812656,465213
99,6314106,465213
99,6308773,465213
99,6318095,465213
99,6812658,465213
99,6305429,465213
99,900521,465213
99,6812657,465213
99,6349852,465213
99,6775836,465213
99,6357669,465213
105,8965097,811219
105,7787799,435313
107,7802541,466112
115,2979299,467115
119,8786822,434222
123,6319164,311830
123,1044244,311830
123,7733286,464112
123,6734746,463211
123,6304866,463211
123,9230234,522110
125,972480,467111
125,2018298,435419
125,8807141,434229
125,8074361,467111
127,6809830,812210
128,1657923,337110
128,7069037,337120
128,2573643,466111
128,2869668,466111
129,87051,931210
129,1120359,541810
133,2977330,332310
134,6261413,434222
135,6330200,316211
135,1268032,463310
135,6710660,463310
138,9292090,561110
139,7942120,435419
140,20144,315225
140,7924101,623311
140,7924102,623311
140,1347756,462112
142,6795894,431150
142,6417757,431150
142,6704275,431150
142,1873403,431150
142,1874036,431150
142,8902377,461130
142,6780463,431150
142,4612458,431150
142,6417065,431150
142,4626962,461140
147,2554862,464112
148,7972656,316211
148,2477625,463310
148,9382515,463310
148,8070878,463310
149,6797917,311910
161,6303595,465919
161,6309109,465919
161,6880819,465919
161,6352407,465919
161,6783590,465919
161,6352442,465919
161,6352409,465919
161,6877781,465919
161,6352436,465919
161,6783589,465919
161,6352414,465919
161,6352415,465919
161,6796042,465919
161,6355612,465919
161,6326464,465919
161,6352413,465919
161,6855021,465919
161,6855186,465919
161,6725293,465919
161,6854196,465919
161,6382052,465919
161,6352428,465919
161,6884770,465919
161,6855183,465919
161,6882128,465919
161,6855170,465919
161,6352443,465919
161,6352439,465919
161,6874274,465919
166,9337897,484233
168,6417847,463310
168,7977873,316213
170,6161750,487110
172,6860906,312142
174,9252670,461160
